name;harmonized keywords
Small and medium enterprises(MSME);small and medium enterprise
Small and medium size enterprises;small and medium enterprise
small and medium sized enterprise;small and medium enterprise
Small and medium sized enterprise;small and medium enterprise
Small and medium sized enterprises;small and medium enterprise
Small and Medium sized Enterprises;small and medium enterprise
small- and medium-sized enterprise (SME);small and medium enterprise
Small and medium-sized enterprises;small and medium enterprise
small and medium-sized enterprises;small and medium enterprise
Small and Medium-Sized Enterprises;small and medium enterprise
Small- and medium-sized enterprises;small and medium enterprise
Small and Medium-sized Enterprises (SME);small and medium enterprise
Small and medium-sized manufacturing enterprises;small and medium enterprise
Small to mediumsized enterprises;small and medium enterprise
Small to medium-sized companies;small and medium enterprise
Small to medium-sized enterprises;small and medium enterprise
small-medium enterprises (SMEs);small and medium enterprise
Small-medium enterprises (SMEs);small and medium enterprise
SME;small and medium enterprise
SME oriented technology;small and medium enterprise
SMEs;small and medium enterprise
SMEs – Small and medium sized enterprises;small and medium enterprise
SMMEs;small and medium enterprise
small and medium size;small and medium size
Small and medium size;small and medium size
Small batch production;small batch production
small-cells;small cell
small companies;small company
Small companies;small company
small punch test;small punch test
Small punch test;small punch test
Small Punch Test;small punch test
small-scale intelligent manufacturing system;small scale intelligent manufacturing system
Small-scale local production;small scale local production
small scale production;small scale production
small volume & large variety manufacturing;small volume and large variety manufacturing
Smart;smart
smart;smart
smart agriculture;smart agriculture
Smart analytics;smart analytic
Smart and optimal manufacturing;smart and optimal manufacturing
smart assembly;smart assembly
Smart assembly;smart assembly
SmARPro;smart assistance for human in production
Smart Bearing;smart bearing
Smart Bearing.;smart bearing
SMARTBOX;smart box
smart building;smart building
Smart car parking;smart car parking
Smart cards;smart card
smart chemical industry;smart chemical industry
SMART Chemical industry;smart chemical industry
Smart Chemical Plant;smart chemical plant
Smart cities;smart city
smart cities;smart city
Smart Cities;smart city
Smart city;smart city
smart city;smart city
Smart City;smart city
Smart City Management;smart city management
Smart collaboration;smart collaboration
smart community;smart community
Smart Component;smart component
Smart components;smart component
Smartcomponents;smart component
Smart computing;smart computing
Smart Connected Control Platform;smart connected control platform
Smart contract;smart contract
smart contract;smart contract
Smart contracts;smart contract
smart contracting;smart contracting
Smart control;smart control
Smart cooperation model;smart cooperation model
Smart cutting tool;smart cutting tool
Smart data;smart data
Smart design;smart design
smart design;smart design
Smart devices;smart device
Smart Devices;smart device
Smart-Devices;smart device
smart devices and apps;smart device and application 
Smart distributed scheduling;smart distributed scheduling
Smart Driver;smart driver
Smart driver;smart driver
Smart energy;smart energy
Smart Engineering;smart engineering
Smart Enterprise;smart enterprise
Smart environments;smart environment
smart environments;smart environment
smart equipment;smart equipment
Smart factories;smart factory
Smart Factories;smart factory
smart factories;smart factory
Smart factory;smart factory
smart factory;smart factory
Smart Factory;smart factory
SMART Factory;smart factory
SmartFactory;smart factory
smart-factory;smart factory
Smart-Factory;smart factory
SmartFactory(KL);smart factory
SmartFactoryKL;smart factory
Smart factories and smart production;smart factory and smart production 
Smart Factory and Team of Teams;smart factory and team of team
Smart Factory Implementation;smart factory implementation
Smart factories in Europe;smart factory in Europe
smart factory planning;smart factory planning
Smart Factory Service;smart factory service
Smarte Fabriksysteme;smart factory system
smart gateway;smart gateway
Smart Glasses;smart glasse
Smart governance;smart governance
Smart government;smart government
smart grid;smart grid
Smart grid;smart grid
Smart Grid;smart grid
smart grids;smart grid
Smart grids;smart grid
SmartGrid;smart grid
smart grid technological development;smart grid technological development
Smart grid technological development;smart grid technological development
Smart health monitoring;smart health monitoring
Smart home;smart home
Smart Home;smart home
smart home;smart home
Smart industrial camera;smart industrial camera
” “smart” industry;smart industry
Smart industries;smart industry
Smart Industries;smart industry
smart industries;smart industry
Smart industry;smart industry
smart industry;smart industry
Smart Industry;smart industry
smart industry information system;smart industry information system
smart job shop;smart job shop
Smart Jointery;smart jointery
Smart lab;smart lab
smart labels;smart label
Smart living;smart living
Smart logistics;smart logistic
Smart Logistics;smart logistic
Smart machines;smart machine
Smart machining;smart machining
Smart maintenance;smart maintenance
Smart Manufacturing;smart maintenance
smart manufacturing;smart manufacturing
Smart manufacturing;smart manufacturing
Smart manufacturing (SM);smart manufacturing
smart manufacturing.;smart manufacturing
smart manufacturing platform;smart manufacturing platform
Smart manufacturing process;smart manufacturing process
Smart manufacturing readiness;smart manufacturing readiness
smart manufacturing system;smart manufacturing system
Smart manufacturing systems;smart manufacturing system
smart materials;smart material
Smart materials;smart material
Smart metering;smart metering
smart metering;smart metering
Smartmodels;smart model
smartmodels;smart model
Smart object;smart object
Smart Objects;smart object
Smart ocean;smart ocean
Smart operators;smart operator
Smart organization;smart organization
Smart Parameters Platform;smart Parameters Platform
Smart pharmaceuticals;smart pharmaceutical
Smart phone;smart phone
Smartphone;smart phone
smartphone;smart phone
Smart pipes;smart pipe
smart pipes;smart pipe
Smart Plant;smart plant
Smart plants;smart plant
Smart power generation;smart power generation
Smart process manufacturing;smart process manufacturing
smartization (smart processing);smart processing
Smart product;smart product
Smart products;smart product
Smart Product Development;smart product development
Smart production;smart production
smart production;smart production
smart production cell;smart production cell
Smart production concepts;smart production concept
smart production facilities;smart production facilities
smart production line (SPL);smart production line 
Smart production line (SPL);smart production line 
smart production management;smart production management
Smart production managements;smart production management
smart production system;smart production system
Smart production system;smart production system
Smart productivity;smart productivity
Smart quanzhou;smart quanzhou
smart remanufacturing process;smart remanufacturing process
Smart safety;smart safety
Smart-scale technologies;smart scale technologies
smart sensor;smart sensor
Smart sensors;smart sensor
Smart Sensors;smart sensor
smart sensors;smart sensor
Smart sensor network;smart sensor network
Smart Sensor system;smart sensor system
smart service;smart service
Smart service;smart service
smart services;smart service
Smart services;smart service
Smart Services;smart service
smart shop floor;smart shop floor
Smart Spaces;smart space
Smart spaces;smart space
Smart specialization;smart specialization
Smart steel mills;smart steel mill
smart structures;smart structure
Smart system;smart system
smart systems;smart system
Smart systems;smart system
Smart Systems;smart system
smart technology;smart technology
Smart technology;smart technology
smart textile;smart textile
smart textiles;smart textile
Smart textile products;smart textile product
Smart tool management;smart tool management
Smart tooling;smart tooling
Smart transmission grid;smart transmission grid
smart vehicle;smart vehicle
Smart warehouse;smart warehouse
Smart wearables;smart wearable
Smart windows;smart windows
Smart workflows;smart workflow
smart workpieces;smart workpiece
Smarter city;smarter city
Smarter manufacturing;smarter manufacturing
Smarter planet;smarter planet
Smartization;smartization
Smartness;smartness
smartness assessment;smartness assessment
Smartness assessment;smartness assessment
Smooth technology;smooth technology
snap-together optics;snap together optic
Snap-together optics;snap together optic
SOAD;SOAD 
Social agency;social agency
Social Agency;social agency
Social aspects;social aspect
Social assets;social asset
Social collaboration;social collaboration
social-cyber-physical system;social cyber physical system
Socio-cyber-physical system;social cyber physical system
Socio-Cyber-Physical Systems;social cyber physical system
Social fabrication;social fabrication
social implications;social implication
Social implications;social implication
Social Innovation;social innovation
Social innovation;social innovation
social innovation;social innovation
Social Internet of Things;social internet of thing
social manufacturing;social manufacturing
Social manufacturing;social manufacturing
Social media;social media
Social Media;social media
social network;social network
Social networks;social network
social networks;social network
social networking;social networking
Social Product Development (SPD);social product development 
social responsibility;social responsibility
Social robotics;social robotic
Social Security Funding;social security funding
social support;social support
social sustainability;social sustainability
social welfare;social welfare
socialization;socialization
Socialization;socialization
socially responsible activity;socially responsible activity
Socially sustainable manufacturing;socially sustainable manufacturing
societal challenges;societal challenge
Society 4.0;society 4.0
sociological monitoring;socio logical monitoring
socio-technical system;socio technical system
Socio-technical system;socio technical system
Sociotechnical systems;socio technical system
sociotechnical systems;socio technical system
socio-technical systems;socio technical system
Socio-Technical systems;socio technical system
Socket;socket
socket;socket
SOFI survey;SOFI survey
soft actuators;soft actuator
soft-computing;soft computing
Soft computing methods;soft computing method
Soft interfaces;soft interface
soft machines;soft machine
soft processes;soft process
Soft processes;soft process
Soft prototyping;soft prototyping
soft robots;soft robot
soft robotics;soft robotic
Soft sensing;soft sensing
Soft tissue engineering;soft tissue engineering
Software;software
software;software
software agent;software agent
Software agent;software agent
software agents;software agent
Software applications;software application
Software architecture;software architecture
SaaS;software as a service 
Software defined;software defined
software-defined architecture;software defined architecture
SDC;software defined control
Software defined infrastructure (SDI);software defined infrastructure 
Software Defined Infrastructure (SDI);software defined infrastructure 
Software-Defined Manufacturing;software defined manufacturing
software defined network;software defined network
Software Defined Network;software defined network
Software-defined networks;software defined network
software-defined networks;software defined network
SDN;software defined networking
Software Defined Networking;software defined networking
Software defined networking;software defined networking
software defined networking (SDN);software defined networking
Software defined networking (SDN);software defined networking
Software Defined Networking (SDN);software defined networking
Software-defined networking;software defined networking
Software-Defined Networking;software defined networking
SDN control plane;software defined networking control plane
Software-Defined Systems;software defined system
software design pattern;software design pattern
software development;software development
Software development;software development
software engineering;software engineering
Software engineering method;software engineering method
Software Framework;software framework
software-framework;software framework
Software-framework;software framework
software generation;software generation
software implementation;software implementation
Software in loop simulation;software in loop simulation
Software Latency;software latency
Software Maintenance;software maintenance
Software Platforms;software platform
Software product line;software product line
Software Product Line;software product line
Software product lines;software product line
software product lines;software product line
Software Reconfiguration;software reconfiguration
Software selection;software selection
software system design;software system design
Software tools;software tool
sol-gel;sol gel
Sol-gel;sol gel
Solar energy;solar energy
solar energy;solar energy
solid electrolyte;solid electrolyte
Solid electrolyte;solid electrolyte
Solid free form fabrication;solid free form fabrication
Solid freeform fabrication;solid free form fabrication
Solid granular medium;solid granular medium
Solid-phase extraction;solid phase extraction
Solidworks;solid work
SolidCAM;SolidCAM
solidification;solidification
Solidification microstructure;solidification microstructure
Solution;solution
solution for “shortest algorithm problem”;solution for shortest algorithm problem
solution for 'shortest algorithm problem';solution for shortest algorithm problem
Songtao Miao Autonomous County;Songtao Miao Autonomous County
Sophisticated costing techniques;sophisticated costing technique
Sophisticated Costing Techniques;sophisticated costing technique
sorting robot;sorting robot
Sound;sound
Sound stream;sound stream
Sound Stream Analysis;sound stream snalysis
South Africa;South Africa
South Asia;South Asia
South Beach;South beach
South Korea;South Korea
South–South cooperation;South South cooperation
Sowing dates;sowing date
Space 3D printing;space 3 dimension printing
Space additive manufacturing;space additive manufacturing
Space and role division;space and role division
Space and time;space and time
Space and Time;space and time
space policy;space policy
Space policy;space policy
Spare parts;spare part
Spare Parts;spare part
Spare part inventory management system;spare part inventory management system
Spare parts management;spare part management
spare parts supply chain;spare parts supply chain
Spark plasma sintering;spark plasma sintering
Sparse estimation;sparse estimation
SPATA;SPATA
Spatial 3D interpretation;spatial 3 dimensioninterpretation
spatial clustering;spatial clustering
spatial diversity;spatial diversity
spatial filtering;spatial filtering
Spatial filtering;spatial filtering
Spatial Planning;spatial planning
Spatial statistical analysis;spatial statistical analysis
Spatio-temporal processing;spatio temporal processing
Special Bar Quality;special economic zone
Special-shaped cross-section pipe;special shaped cross section pipe
Special economic zones;special vehicle enterprise
Specialty;specialty
Specialty construction;specialty construction
Specialty products;specialty product
Specific energy consumption (SEC);specific energy consumption 
Spectral network approach;spectral network approach
Spectroscopy;spectroscopy
spectrum sharing;spectrum sharing
specular objects;specular object
Specular objects;specular object
speech recognition;speech recognition
Speed of convergence;speed of convergence
Spherical Involute;spherical involute
spider web chart;spider web chart
spike-to-digital converter;spike to digital converter
spiking peripheral neuron ensembles;spiking peripheral neuron ensemble
Spindle;spindle
Spindle power data;spindle power data
Spindle system;spindle system
Spiral bevel and hypoid gear;spiral bevel and hypoid gear
spiral bevel gear;spiral bevel gear
Spiral bevel gear;spiral bevel gear
Spiral Bevel Gears;spiral bevel gear
Spiral CT;spiral computed tomography
Spiral grooves;spiral groove
spirit of the craftsman;spirit of the craftsman
Spline;spline
STEMA model;sport tourism economic assessment model
Spray deposition modeling;spray deposition modeling
Spray painting technology;spray painting technology
Springback;springback
spur gear;spur gear
sputtering;sputtering
SRP;SRP
Stab resistant;stab resistant
Stability;stability
stability;stability
stack array diode laser;stack array diode laser
stacked piezoelectric ceramics;stacked piezoelectric ceramic
Stackelberg game;stackelberg game
Stage-independence;stage independence
Stainless steel;stainless steel
Stainless Steel;stainless steel
Stainless steel part;stainless steel part
Stand change;stand change
Standard;standard
Standards;standard
standards;standard
Standard Deviation Method;standard deviation method
Standard essential patent;standard essential patent
STEP;standard for the exchange of product
STEP-NC;standard for the exchange of product numerical control
STEP-NC controller;standard for the exchange of product numerical control
STEP-NC process plans;standard for the exchange of product numerical control process plan
STEP ISO 10303;standard for the exchange of product or ISO 10303
standard interfaces;standard interface
Standard system;standard system
standard system;standard system
Standard work decision support system;standard work decision support system
Standardisation;standardization
Standardization;standardization
standardization;standardization
Standardized interface;standardized interface
Standardized testing;standardized testing
Stanze;stanze
staples thesis;staple thesis
Starbucks China;starbuck China
starch-degrading enzymes;starch degrading enzyme
Starch-degrading enzymes;starch degrading enzyme
Startup;start up
start-up;start up
start-ups;start up
Start-ups;start up
start-up ecosystem;start up ecosystem
Start up India;start up India
Startup India;start up india
State detection;state detection
State machine;state machine
State monitoring;state monitoring
State of the art;state of the art
State science and innovation policy;state science and innovation policy
Static analysis;static analysis
static navigation;static navigation
Static navigation;static navigation
statistics;statistic
Statistics;statistic
Statistical analysis;statistical analysis
Statistical Analysis;statistical analysis
statistical characterization;statistical characterization
Statistical learning;statistical learning
SPSS;statistical package for the social science
SPC;statistical process control
Statistical process control;statistical process control
statistical process control;statistical process control
statistical process control (SPC);statistical process control
Statistical Process Control (SPC);statistical process control
status-quo;status quo
Status-quo;status quo
Steam turbine unit;steam turbine unit
Steel;steel
Steel 4.0;Steel 4.0
Steel industry;steel industry
steel industry;steel industry
Steel Inventory;steel inventory
steelmaking;steel making
Steelmaking;steel making
steelmaking processes;steel making process
Steel manufacturing process;steel manufacturing process
steel products;steel product
Steel products;steel product
steel production;steel production
Steepest descent algorithm;steepest descent algorithm
steganography;steganography
Stem cells;stem cell
Stepped bed base;stepped bed base
Stepwise regression;stepwise regression
Stereo camera;stereo camera
Stereolithography;stereo lithography
stereolithography;stereo lithography
Stereo lithography files;stereo lithography file
Steven Ma ‘Cloud’ series;stereo lithography serie
stereo vision;stereo vision
Stereo vision;stereo vision
stich control;stich control
stiffness;stiffness
Stiffness;stiffness
STL;STL 
stochastic inventory;stochastic inventory
Stochastic inventory;stochastic inventory
Stochastic multi-criteria acceptability analysis;stochastic multi criteria acceptability analysis
SMAA-2;stochastic multicriteria acceptability analysis
Stochastic process;stochastic process
stochastic processing time;stochastic processing time
Stochastic production planning;stochastic production planning
Stochastic trend;stochastic trend
stock market reaction;stock market reaction
Stock market reaction;stock market reaction
Stomatology;stomatology
Storage;storage
storage;storage
storage system;storage system
straightness measurement;straightness measurement
Straightness measurement;straightness measurement
strain;strain
Strain;strain
Strain-based staffing;strain based staffing
Strain-rate;strain rate
Strain rate sensitivity;strain rate sensitivity
Strain sensor;strain sensor
Strategic Alliance on Industrial Technology Innovation (SAITI);strategic alliance on industrial technology innovation
strategic approach;strategic approach
strategic capabilities;strategic capability
strategic choice;strategic choice
Strategic delegation;strategic delegation
Strategic distribution;strategic distribution
Strategic evaluation;strategic evaluation
Strategic focus;strategic focus
Strategic framework and technology fit;strategic framework and technology fit
Strategic management;strategic management
Strategic Management;strategic management
Strategic planning;strategic planning
Strategical planning;strategical planning
Strategies;strategy
Strategy;strategy
Strategy homogeneity;strategy homogeneity
strategy of re-industrialization;strategy of re industrialization
Strategy projects;strategy project
Stratigraphic Manufacturing;stratigraphic manufacturing
Stream Control Transport Protocol;stream control transport protocol
streamline;stream line
Stream Processing;stream processing
Stream processing;stream processing
Stream Reservation and Registration;stream reservation and registration
streaming analytics;streaming analytic
Streaming data;streaming data
Strength;Strength
strength;strength
SWOT;strength weakness opportunity and threat
strengthening mechanism;strengthening mechanism
Strengthening mechanism;strengthening mechanism
Streptococcus pyogenes;streptococcus pyogene
Stress;stress
stress;stress
stress analysis;stress analysis
Stress-strain state;stress strain state
Stretch;stretch
Stretchable and flexible;stretchable and flexible
strictly positive real;strictly positive real
Strikes;strike
STRING Matching;string matching
structural;structural
structural analysis;structural analysis
Structural analysis;structural analysis
Structural Analysis;structural analysis
structural and contextual factors;structural and contextual factor
Structural and parametric optimization;structural and parametric optimization
structural applications;structural application
Structural change;structural change
Structural change •;structural change 
Structural components;structural component
Structural electronics;structural electronic
Structural equation modeling;structural equation modeling
Structural equation modelling;structural equation modeling
structural equations modelling;structural equations modeling
Structural Health Monitoring;structural health monitoring
Structural health monitoring;structural health monitoring
structural health monitoring;structural health monitoring
structural health monitoring (SHM);structural health monitoring
Structural Mechatronics;structural mechatronic
Structural self interaction matrix;structural self interaction matrix
Structural Self Interaction Matrix;structural self interaction matrix
Structural tile;structural tile
Structural Tile: Cold-Bending;structural tile cold bending
structuralization and characterization;structuralization and characterization
Structure design;structure design
structure dynamics;structure dynamic
Structure dynamics;structure dynamic
Structure model;structure model
structure property verification;structure property verification
structured light profilometry;structured light profilometry
Structured light profilometry;structured light profilometry
structures;structures
the struggle of currencies;struggle of currency
students;student
student skills;student skill
Study;study
Style;style
style guides;style guide
Styling;styling
Sub-program;sub program
Sub-sanitaryware;sub sanitaryware
Sub-Sanitaryware;sub sanitaryware
Sub-zero treatment;sub zero treatment
Subcontracting;subcontracting
S-BPM;subject oriented business process management
Subject-oriented Business Process Management (S-BPM);subject oriented business process management
Subjection;subjection
Subjective judgments;subjective judgments
subsidy;subsidy
Success;success
Success factors;success factor
Sugar;sugar
sugarcane industry;sugarcane industry
Suit collar;suit collar
Superconductors;super conductor
Super elasticity;super elasticity
Superhydrophobicity;Super hydrophobicity
supernetwork;Super network
Supernetwork;super network
SPF;super plastic forming
Superplastic forming;super plastic forming
SPF/DB;super plastic forming and diffusion bonding
Superplasticity;Super plasticity
Superalloy;superalloy
Superalloys;superalloy
supervised classification;supervised classification
Supervised classification;supervised classification
supervision control and data acquisition (SCADA);supervision control and data acquisition 
Supervisory Control and Data Acquisition (SCADA) system;supervision control and data acquisition system
Supervisory control;supervisory control
supervisory control;supervisory control
SCADA;supervisory control and data acquisition
Scada;supervisory control and data acquisition
SCADA systems;supervisory control and data acquisition system 
supervisory Control system;supervisory control system
Supervisory mechanism;supervisory mechanism
Supplier evaluation;supplier evaluation
Supplier management;supplier management
Supplier/partner selection;supplier partner selection
Supplier selection;supplier selection
supplier selection;supplier selection
supply;supply
Supply chain;supply chain
supply chain;supply chain
Supply Chain;supply chain
Supply chains;supply chain
supply chains;supply chain
Supply Chains;supply chain
Supply Chain and Logistics Engineering;supply chain and logistic engineering
Supply chains and networks;supply chain and network
Supply chain capabilities;supply chain capability
Supply chain design;supply chain design
supply chain dynamics;supply chain dynamic
Supply chain flexibility;supply chain flexibility
Supply chain innovation;supply chain innovation
supply chain integration;supply chain integration
Supply chain integration;supply chain integration
supply chain mamangement;supply chain management
Supply chain management;supply chain management
supply chain management;supply chain management
Supply Chain Management;supply chain management
Supply chain management (SCM);supply chain management
Supply Chain Model;supply chain model
Supply chain network;supply chain network
Supply chain performance;supply chain performance
supply chain responsiveness;supply chain responsiveness
supply chain risk management;supply chain risk management
supply chain scheduling;supply chain scheduling
Supply chain scheduling;supply chain scheduling
Supply chain structure;supply chain structure
Supply chain technology;supply chain technology
Supply-demand intelligent matching;supply demand intelligent matching
supply–demand matching;supply demand matching
Supply–demand matching;supply demand matching
Supply–demand matching (SDM);supply demand matching
supply-demand matching;supply demand matching
Supply-demand matching;supply demand matching
Supply demand matching (SDM);supply demand matching 
Supply holon;supply holon
supply networks;supply network
Supply networks;supply network
Support generation;support generation
Support vector machine;support vector machine
support vector machine;support vector machine
SVM-SRGM;support vector machine and  software reliability growth model 
Support Vector Regression;support vector regression
Supported nanostructures;supported nano structure
Surface chemistry;surface chemistry
Surface coatings;surface coating
Surface defect;surface defect
Surface design;surface design
Surface electromyography;surface electromyography
Surface Electromyography;surface electromyography
surface engineering;surface engineering
Surface engineering;surface engineering
Surface feature alignment;surface feature alignment
Surface finish;surface finish
Surface integrity;surface integrity
surface measurement;surface measurement
Surface metrology;surface metrology
surface modification;surface modification
Surface modification;surface modification
Surface partitioning;surface partitioning
surface quality;surface quality
Surface quality;surface quality
surface reconstruction;surface reconstruction
surface recovery beacons;surface recovery beacons
Surface roughness;surface roughness
Surface roughness (Ra);surface roughness 
Surface roughness measurement;surface roughness measurement
Surface structured light projection;surface structured light projection
Surface temperature;surface temperature
surface tension;surface tension
Surface tension;surface tension
surface texture;surface texture
Surface texture;surface texture
Surface textured mould tools;surface textured mould tool
Surface treatments;surface treatment
Surgery;surgery
surgery;surgery
surgical implant;surgical implant
Surgical implant;surgical implant
surgical robotics;surgical robotic
Surveillance;surveillance
Survey;survey
survey;survey
Survey analysis;survey analysis
survey of innovation and business strategy;survey of innovation and business strategy
survey results;survey result
survival analysis;survival analysis
Sustainability;sustainability
sustainability;sustainability
Sustainability assessment;sustainability assessment
Sustainability drivers;sustainability driver
Sustainability mobility;sustainability mobility
sustainability of operation system;sustainability of operation system
Sustainability of operation system;sustainability of operation system
Sustainability/sustainable development;sustainability sustainable development
Sustainable;sustainable
SustainaBLE;sustainable
Sustainable business models;sustainable business model
Sustainable Design;sustainable design
Sustainable Design Index (SDI);sustainable design index 
Sustainable development;sustainable development
sustainable development;sustainable development
Sustainable economy;sustainable economy
Sustainable engineering;sustainable engineering
Sustainable interoperability;sustainable interoperability
Sustainable Machine Design;sustainable machine design
sustainable manufacturing;sustainable manufacturing
Sustainable manufacturing;sustainable manufacturing
Sustainable Manufacturing;sustainable manufacturing
Sustainable manufacturing systems;sustainable manufacturing system
sustainable mobility;sustainable mobility
Sustainable products;sustainable product
Sustainable production;sustainable production
sustainable production;sustainable production
SVR;SVR
SVR Model;SVR model 
Swachh Bharat;swachh bharat
Swarm Intelligence;swarm intelligence
Sweden;Sweden
SWIR;SWIR
Swirl number;swirl number
Switch management;switch management
switch reluctance motor;switch reluctance motor
Switches;switche
switches;switche
switched-capacitor E;switched capacitor E
switched industrial Ethernet;switched industrial ethernet
switched-line phase shifter;switched line phase shifter
Switched-Line Phase Shifter;switched line phase shifter
switched systems;switched system
Switching mechanism;switching mechanism
Switchingmechanism;switching mechanism
Switchover;switchover
Switzerland;Switzerland
symmetry;symmetry
Symmetry;symmetry
symmetry breaking cuts;symmetry breaking cut
Symmetry breaking cuts;symmetry breaking cut
Sync-e;sync e
synchronisation;synchronisation
Synchronisation;synchronisation
Synchronization;synchronization
Synchronous production;synchronous production
Synchronous production system;synchronous production system
Synergetic optimization;synergetic optimization
Synergism;synergism
Synergistic effect;synergistic effect
synergy;synergy
Synergy;synergy
synthesis;synthesis
synthesis and communication process;synthesis and communication process
Synthesized evaluation;synthesized evaluation
synthesized evaluation;synthesized evaluation
Synthetic biology;synthetic biology
synthetic data;synthetic data
Synthetic fibres;synthetic fibre
Synthetic viruses;synthetic viruse
synthetic wavelength;synthetic wavelength
Synthetic wavelength;synthetic wavelength
SysML;sysml
System;system
system;system
Systems;system
Systems Theory Interoperability of Information;system  theory interoperability of information
SAP;system application and product
system architecture;system architecture
System architecture;system architecture
System Architecture;system architecture
System architectures;system architecture
systems architecture;system architecture
System Building;system building
system-centered scheduling;system centered scheduling
System-centered scheduling;system centered scheduling
system conversion;system conversion
System Design;system design
system design;system design
systems design;system design
Systems Design;system design
Systems Development;system development
System dynamics;system dynamic
system dynamics;system dynamic
System Dynamics;system dynamic
system engineering;system engineering
System Engineering;system engineering
System engineering;system engineering
Systems engineering;system engineering
systems engineering;system engineering
Systems Engineering;system engineering
Systems Engineering (SE);system engineering
Systems ergonomics;system ergonomic
System Evaluation;system evaluation
System-Generated Connector;system generated connector
System-GMM;system GMM
system identification;system identification
system integration;system integration
System Integration;system integration
System integration;system integration
Systems integration;system integration
systems integration;system integration
SIMMI 4.0;system integration maturity model industry 4.0
System landscape;system landscape
System Landscape;system landscape
System Layout Planning;system layout planning
system-level integration;system level integration
systems management;system management
system model;system model
systems models;system model
system modeling;system modeling
System modeling;system modeling
Systems Modelling and Simulation;system modelling and simulation
Systems of Engagement;system of engagement
System of objectives;system of objective
Systems of Records;system of record
System of Systems;system of systems
System of systems (SoS);system of systems
Systems of Systems;system of systems
SoS Engineering;system of systems engineering
System of systems engineering (SoSE);system of systems engineering
SoC;system on chip
System optimisation;system optimisation
system performance;system performance
system performance optimisation;system performance optimisation
System planning;system planning
system system-level integ integration;system system level integ integration
System testing;system testing
Systems Theory;system theory
Systems theory;system theory
System Transformation;system transformation
System upgrade;system upgrade
System verification;system verification
Systematic design;systematic design
Systematic literature review;systematic literature review
Systematic Literature Review;systematic literature review
systematic literature review;systematic literature review
systematic mapping;systematic mapping
SystemJ;systemJ
Tablets;tablet
Tablet computer;tablet computer
tablet PC;tablet pc
tabu search (TS);tabu search 
Tabu search (TS);tabu search 
tacit knowledge;tacit knowledge
Tactile;tactile
Tactile Internet;tactile internet
Tactile internet industrial;tactile Internet industrial
Tactile Internet industrial;tactile internet industrial
Tagging;tagging
Taguchi;taguchi
Taguchi design;taguchi design
Taguchi loss function;taguchi loss function
Taguchi Loss Functions;taguchi loss function
Taguchi’s loss function;taguchi loss function
Taguchi's loss function;taguchi loss function
Taguchi method;taguchi method
Tailor-Made Cloth;tailor Made cloth
Tailor-made cloth;tailor made cloth
Tailor-welded blanks;tailor welded blank
Tailor-welded coils;tailor welded coil
Tailored tempering;tailored tempering
Talents training;talent  training
Talent Cultivation;talent cultivation
Talent demand;talent demand
talent demand dimension;talent demand dimension
Talent development;talent development
Talent education;talent education
Talent management ecosystem;talent management ecosystem
Talent model;talent model
talent training;talent training
talents training;talent training
talent training mode;talent training mode
Tall Thin Engineer;tall Thin Engineer
Tandem laser-arc welding;tandem laser arc welding
‘Tang’ series;tang serie
Tangible user interfaces;tangible user interface
Tangshan;tangshan
Tape-laying;tape laying
Taper gauge;taper gauge
Taper measurement;taper measurement
Target identification;target identification
Target speed modification algorithm;target speed modification algorithm
target value adjustment (TVA);target value adjustment
targeting pod;targeting pod
task;task
Task assignment;task assignment
task driven;task driven
Task driven;task driven
task placement;task placement
Task trees;task trees
Tax buoyancy;tax buoyancy
Taxonomy;taxonomy
taxonomy;taxonomy
TCM;TCM 
Teaching;teaching
teaching and learning;teaching and learning
Teaching and learning;teaching and learning
teaching CAM;teaching cam
Teaching cam;teaching cam
Teaching innovation;teaching innovation
Teaching innovation self-efficacy;teaching innovation self efficacy
Teaching Method;teaching method
Teaching Quality Evaluation;teaching quality evaluation
Teaching reform;teaching reform
teaching reform;teaching reform
Teaching Reform;teaching reform
Team player;team player
Team Project;team project
team work;team work
Team work;team work
Teamwork;team work
Technical and Economic Parameters;technical and economic parameter
technical assistance service;technical assistance service
Technical Ceramics;technical ceramic
technical change;technical change
technical changes;technical change
Technical College;technical college
Technical designs;technical design
Technical Diagnosis;technical diagnosis
Technical Diagnostics;technical diagnostic
technical diagnostics;technical diagnostic
Technical Documentation;technical documentation
technical-economic development;technical economic development
Technical-economic development;technical economic development
technical education;technical education
Technical Education;technical education
technical energymanagement;technical energy management
Technical framework;technical framework
Technical inheritance;technical inheritance
Technical office;technical office
Technical revolution;technical revolution
Technical services;technical service
technical skills;technical skill
Technical system;technical system
technician education;technician education
TOPSIS;technique for order of preference by similarity to ideal solution
TOPSIS method;technique for order of preference by similarity to ideal solution method
Technique for order preference by similarity to ideal solution;technique for order preference by similarity to ideal solution
Techno-centered design;techno centered design
Techno-centred design;techno centred design
Techno-economic paradigm;techno economic paradigm
Techno-Economic Paradigm;techno economic paradigm
technolo function matrix (TFM);technolo function matrix
technological acceptance;technological acceptance
technological adapter;technological adapter
Technological capability;technological capability
Technological Change;technological change
technological democracy;technological democracy
Technological development;technological development
Technological dynamism;technological dynamism
technological entrepreneurship;technological entrepreneurship
technological forecasting;technological forecasting
Technological forecasting;technological forecasting
technological innovation;technological innovation
Technological innovation;technological innovation
